I
1100 Generated by WorldEditor 2.2.0r2

17     82 0 0 BGNS Narsaq Heliport
102 H1  60.91722937 -046.05942876  71.78 61.79 20.36 15 0 0 0.00 1
110 2 0.00 0.0000 terminal_base
111  60.91819978 -046.05814527
111  60.91815014 -046.05823221
111  60.91813619 -046.05819849
111  60.91812306 -046.05822148
111  60.91809913 -046.05816365
111  60.91808777 -046.05818357
111  60.91807307 -046.05814805
111  60.91808258 -046.05813140
111  60.91803171 -046.05800847
111  60.91811538 -046.05786192
111  60.91815774 -046.05796427
111  60.91821299 -046.05786749
111  60.91825565 -046.05797058
113  60.91818135 -046.05810072
110 1 0.00 0.0000 access_road
111  60.91737013 -046.05915730
112  60.91739094 -046.05916341  60.91739986 -046.05916341
112  60.91749496 -046.05898762  60.91753286 -046.05890813
112  60.91774698 -046.05838504  60.91781013 -046.05825816
111  60.91796899 -046.05797718
111  60.91798550 -046.05779035
112  60.91804844 -046.05767856  60.91805770 -046.05766013
111  60.91806158 -046.05766873
112  60.91809327 -046.05768832  60.91811408 -046.05768221
112  60.91816386 -046.05757978  60.91816386 -046.05757826
111  60.91813563 -046.05750029
112  60.91816702 -046.05743207  60.91820492 -046.05736328
112  60.91845442 -046.05691664  60.91850970 -046.05682675
111  60.91853823 -046.05690380
112  60.91860692 -046.05679503  60.91866898 -046.05669597
112  60.91876100 -046.05632174  60.91879524 -046.05617866
111  60.91879845 -046.05604438
111  60.91887655 -046.05643621
112  60.91881663 -046.05648024  60.91878775 -046.05651986
112  60.91871071 -046.05671578  60.91867326 -046.05683906
112  60.91851366 -046.05715412  60.91846230 -046.05724437
112  60.91819521 -046.05770634  60.91817911 -046.05773437
111  60.91818778 -046.05779424
111  60.91821560 -046.05788464
111  60.91815987 -046.05798553
111  60.91804809 -046.05804210
112  60.91801042 -046.05806864  60.91799236 -046.05806439
111  60.91798582 -046.05804835
112  60.91776222 -046.05844954  60.91770649 -046.05855909
112  60.91756655 -046.05892215  60.91751144 -046.05905208
112  60.91741857 -046.05921870  60.91739133 -046.05925777
113  60.91733687 -046.05935803
110 1 0.00 0.0000 main_asphalt
111  60.91739048 -046.06014259
111  60.91723732 -046.06000968
111  60.91723243 -046.06004062
111  60.91705263 -046.05991983
111  60.91691882 -046.05996272
111  60.91688511 -046.05955931
111  60.91712391 -046.05947584
111  60.91722728 -046.05882206
111  60.91740678 -046.05894025
111  60.91733318 -046.05940464
111  60.91742614 -046.05937087
111  60.91745743 -046.05974848
113  60.91746579 -046.05977284
110 5 0.00 0.0000 Gravel
111  60.91807788 -046.05816060
112  60.91803864 -046.05821196  60.91802616 -046.05820095
112  60.91801011 -046.05811841  60.91799941 -046.05810923
112  60.91796999 -046.05811841  60.91795394 -046.05813308
111  60.91790757 -046.05818995
111  60.91789420 -046.05815143
111  60.91799763 -046.05792396
111  60.91805826 -046.05767998
112  60.91810017 -046.05756992  60.91811354 -046.05751855
112  60.91812603 -046.05750021  60.91813048 -046.05750021
112  60.91819033 -046.05735507  60.91820959 -046.05732073
112  60.91823912 -046.05727319  60.91825325 -046.05728639
112  60.91831231 -046.05751885  60.91829690 -046.05756640
112  60.91824811 -046.05766942  60.91824426 -046.05772753
112  60.91824811 -046.05775395  60.91825453 -046.05777508
112  60.91826609 -046.05782527  60.91826865 -046.05785432
112  60.91826865 -046.05790716  60.91826865 -046.05791772
111  60.91824939 -046.05795470
113  60.91822500 -046.05798640
130 Airport Boundary
111  60.91885624 -046.05648688
111  60.91874710 -046.05680387
111  60.91842226 -046.05754615
111  60.91826947 -046.05794767
111  60.91820142 -046.05817748
111  60.91815006 -046.05828843
111  60.91808201 -046.05829371
111  60.91803707 -046.05824616
111  60.91798956 -046.05815635
111  60.91777336 -046.05852150
111  60.91798521 -046.05915282
111  60.91740274 -046.06037171
111  60.91738887 -046.06036854
111  60.91703141 -046.06009911
111  60.91686347 -046.06010545
111  60.91676794 -046.05945565
111  60.91676794 -046.05929082
111  60.91702679 -046.05924961
111  60.91711461 -046.05853959
111  60.91769856 -046.05840012
111  60.91794171 -046.05790332
111  60.91797943 -046.05767054
111  60.91819908 -046.05716845
111  60.91836104 -046.05696305
111  60.91863386 -046.05654119
113  60.91875899 -046.05611395
120 Linear Feature 16
111  60.91693308 -046.05975452 20
111  60.91693530 -046.05974095 20
115  60.91692405 -046.05974966
120 Linear Feature 15
